op_carrier_fl_num,op_unique_carrier,origin_airport_id,dest_airport_id,distance,route,day,Key,fl_date,AvgTemp,Precipitation,Snow_mm,WindSpeed,lat,lon,Month
5390,21,14057,11292,991.0,2701,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
5752,6,14057,14747,129.0,2728,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
789,20,14057,11292,991.0,2701,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
1184,2,14057,14679,933.0,2727,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
1552,2,14057,14262,873.0,2724,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
889,2,14057,12173,2603.0,2707,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
2713,7,14057,12478,2454.0,2709,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
2397,20,14057,12266,1825.0,2708,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
1640,2,14057,12889,763.0,2711,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
2319,1,14057,14107,1009.0,2723,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
2012,19,14057,10849,554.0,2698,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
3305,17,14057,14831,569.0,2730,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
1824,7,14057,14869,630.0,2731,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
408,2,14057,14831,569.0,2730,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
1921,21,14057,12889,763.0,2711,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
877,21,14057,11292,991.0,2701,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
