op_carrier_fl_num,op_unique_carrier,origin_airport_id,dest_airport_id,distance,route,day,Key,fl_date,AvgTemp,Precipitation,Snow_mm,WindSpeed,lat,lon,Month
5390,WN,14057,11292,991.0,14057-11292,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
5752,CP,14057,14747,129.0,14057-14747,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
789,UA,14057,11292,991.0,14057-11292,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
1184,AS,14057,14679,933.0,14057-14679,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
1552,AS,14057,14262,873.0,14057-14262,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
889,AS,14057,12173,2603.0,14057-12173,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
2713,DL,14057,12478,2454.0,14057-12478,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
2397,UA,14057,12266,1825.0,14057-12266,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
1640,AS,14057,12889,763.0,14057-12889,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
2319,AA,14057,14107,1009.0,14057-14107,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
2012,QX,14057,10849,554.0,14057-10849,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
3305,OO,14057,14831,569.0,14057-14831,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
1824,DL,14057,14869,630.0,14057-14869,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
408,AS,14057,14831,569.0,14057-14831,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
1921,WN,14057,12889,763.0,14057-12889,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
877,WN,14057,11292,991.0,14057-11292,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
2369,UA,14057,11292,991.0,14057-11292,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
540,AS,14057,12892,834.0,14057-12892,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
2460,DL,14057,10397,2172.0,14057-10397,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
2508,WN,14057,13198,1482.0,14057-13198,3,45.58869934-45.58869934,2020-01-03,10.2,3.0,0.0,18.4,45.58869934,-122.5979996,1
434,AS,14057,14893,479.0,14057-14893,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
1410,UA,14057,14771,550.0,14057-14771,3,45.58869934-45.58869934,2020-01-03,10.2,3.0,0.0,18.4,45.58869934,-122.5979996,1
68,DL,14057,14869,630.0,14057-14869,3,45.58869934-45.58869934,2020-01-03,10.2,3.0,0.0,18.4,45.58869934,-122.5979996,1
2584,WN,14057,13891,838.0,14057-13891,3,45.58869934-45.58869934,2020-01-03,10.2,3.0,0.0,18.4,45.58869934,-122.5979996,1
6032,CP,14057,12892,834.0,14057-12892,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
3542,WN,14057,11292,991.0,14057-11292,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
3326,OO,14057,14771,550.0,14057-14771,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
1442,AA,14057,13930,1739.0,14057-13930,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
2173,WN,14057,15016,1708.0,14057-15016,3,45.58869934-45.58869934,2020-01-03,10.2,3.0,0.0,18.4,45.58869934,-122.5979996,1
2397,UA,14057,12266,1825.0,14057-12266,3,45.58869934-45.58869934,2020-01-03,10.2,3.0,0.0,18.4,45.58869934,-122.5979996,1
1206,B6,14057,12478,2454.0,14057-12478,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
3380,OO,14057,10140,1111.0,14057-10140,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
1766,AS,14057,12889,763.0,14057-12889,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
550,AS,14057,12892,834.0,14057-12892,5,45.58869934-45.58869934,2020-01-05,7.1,6.6,0.0,16.9,45.58869934,-122.5979996,1
1316,AA,14057,11298,1616.0,14057-11298,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
6088,CP,14057,12892,834.0,14057-12892,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
1442,AA,14057,13930,1739.0,14057-13930,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
1754,WN,14057,14679,933.0,14057-14679,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
841,AS,14057,12982,2631.0,14057-12982,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
646,AS,14057,12889,763.0,14057-12889,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
1967,WN,14057,14893,479.0,14057-14893,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
855,AS,14057,12758,2607.0,14057-12758,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
241,AS,14057,10299,1542.0,14057-10299,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
2223,QX,14057,10713,344.0,14057-10713,5,45.58869934-45.58869934,2020-01-05,7.1,6.6,0.0,16.9,45.58869934,-122.5979996,1
2059,QX,14057,14489,116.0,14057-14489,3,45.58869934-45.58869934,2020-01-03,10.2,3.0,0.0,18.4,45.58869934,-122.5979996,1
2563,QX,14057,13796,543.0,14057-13796,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
2420,QX,14057,14893,479.0,14057-14893,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
25,HA,14057,12173,2603.0,14057-12173,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
889,AS,14057,12173,2603.0,14057-12173,5,45.58869934-45.58869934,2020-01-05,7.1,6.6,0.0,16.9,45.58869934,-122.5979996,1
1544,AS,14057,12892,834.0,14057-12892,3,45.58869934-45.58869934,2020-01-03,10.2,3.0,0.0,18.4,45.58869934,-122.5979996,1
6238,WN,14057,14831,569.0,14057-14831,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
1918,AA,14057,11298,1616.0,14057-11298,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
1146,WN,14057,14893,479.0,14057-14893,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
2093,UA,14057,14771,550.0,14057-14771,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
2746,QX,14057,14893,479.0,14057-14893,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
6216,WN,14057,14107,1009.0,14057-14107,5,45.58869934-45.58869934,2020-01-05,7.1,6.6,0.0,16.9,45.58869934,-122.5979996,1
2417,QX,14057,10713,344.0,14057-10713,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
2469,QX,14057,13264,222.0,14057-13264,5,45.58869934-45.58869934,2020-01-05,7.1,6.6,0.0,16.9,45.58869934,-122.5979996,1
1774,DL,14057,12892,834.0,14057-12892,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
1938,UA,14057,11292,991.0,14057-11292,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
2601,WN,14057,13796,543.0,14057-13796,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
347,AS,14057,13891,838.0,14057-13891,3,45.58869934-45.58869934,2020-01-03,10.2,3.0,0.0,18.4,45.58869934,-122.5979996,1
2257,QX,14057,14570,444.0,14057-14570,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
3335,OO,14057,14747,129.0,14057-14747,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
2484,QX,14057,14869,630.0,14057-14869,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
1194,DL,14057,14869,630.0,14057-14869,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
2420,QX,14057,14893,479.0,14057-14893,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
2454,AA,14057,14107,1009.0,14057-14107,3,45.58869934-45.58869934,2020-01-03,10.2,3.0,0.0,18.4,45.58869934,-122.5979996,1
2929,QX,14057,12892,834.0,14057-12892,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
6056,CP,14057,12892,834.0,14057-12892,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
3439,OO,14057,11638,626.0,14057-11638,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
3414,OO,14057,14831,569.0,14057-14831,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
4531,WN,14057,14107,1009.0,14057-14107,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
1456,AS,14057,14831,569.0,14057-14831,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
2082,UA,14057,12266,1825.0,14057-12266,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
1554,AS,14057,14262,873.0,14057-14262,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
2417,UA,14057,11618,2434.0,14057-11618,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
3344,OO,14057,11259,1626.0,14057-11259,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
685,WN,14057,13232,1751.0,14057-13232,3,45.58869934-45.58869934,2020-01-03,10.2,3.0,0.0,18.4,45.58869934,-122.5979996,1
646,AS,14057,12889,763.0,14057-12889,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
403,DL,14057,11433,1953.0,14057-11433,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
358,AS,14057,12892,834.0,14057-12892,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
2561,QX,14057,13796,543.0,14057-13796,2,45.58869934-45.58869934,2020-01-02,8.2,1.0,0.0,11.9,45.58869934,-122.5979996,1
652,AS,14057,11298,1616.0,14057-11298,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
1503,DL,14057,13487,1426.0,14057-13487,4,45.58869934-45.58869934,2020-01-04,8.4,4.1,0.0,15.8,45.58869934,-122.5979996,1
1812,AS,14057,14771,550.0,14057-14771,5,45.58869934-45.58869934,2020-01-05,7.1,6.6,0.0,16.9,45.58869934,-122.5979996,1
2881,QX,14057,14004,161.0,14057-14004,5,45.58869934-45.58869934,2020-01-05,7.1,6.6,0.0,16.9,45.58869934,-122.5979996,1
3473,OO,14057,10713,344.0,14057-10713,5,45.58869934-45.58869934,2020-01-05,7.1,6.6,0.0,16.9,45.58869934,-122.5979996,1
6088,CP,14057,12892,834.0,14057-12892,3,45.58869934-45.58869934,2020-01-03,10.2,3.0,0.0,18.4,45.58869934,-122.5979996,1
540,AS,14057,12892,834.0,14057-12892,5,45.58869934-45.58869934,2020-01-05,7.1,6.6,0.0,16.9,45.58869934,-122.5979996,1
6056,CP,14057,12892,834.0,14057-12892,1,45.58869934-45.58869934,2020-01-01,10.8,3.8,0.0,11.9,45.58869934,-122.5979996,1
1552,AS,14057,14262,873.0,14057-14262,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
3344,OO,14057,11259,1626.0,14057-11259,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
4200,WN,14057,14893,479.0,14057-14893,5,45.58869934-45.58869934,2020-01-05,7.1,6.6,0.0,16.9,45.58869934,-122.5979996,1
2248,UA,14057,11618,2434.0,14057-11618,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
5766,CP,14057,14747,129.0,14057-14747,5,45.58869934-45.58869934,2020-01-05,7.1,6.6,0.0,16.9,45.58869934,-122.5979996,1
782,AS,14057,13204,2534.0,14057-13204,7,45.58869934-45.58869934,2020-01-07,11.3,2.8,0.0,24.8,45.58869934,-122.5979996,1
1922,DL,14057,14747,129.0,14057-14747,5,45.58869934-45.58869934,2020-01-05,7.1,6.6,0.0,16.9,45.58869934,-122.5979996,1
904,WN,14057,13796,543.0,14057-13796,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
2477,QX,14057,15023,489.0,14057-15023,6,45.58869934-45.58869934,2020-01-06,8.0,5.6,0.0,29.2,45.58869934,-122.5979996,1
