"op_carrier_fl_num","op_unique_carrier","origin_airport_id","dest_airport_id","distance","route","day"
5390,"WN",14057,11292,991.0,"14057-11292",1
2331,"WN",15376,11292,639.0,"15376-11292",2
2321,"NK",14843,11618,1608.0,"14843-11618",5
5496,"OO",11109,12266,809.0,"11109-12266",3
2811,"QX",11884,14057,279.0,"11884-14057",3
1281,"DL",13487,10627,386.0,"13487-10627",6
4108,"OO",14869,11884,546.0,"14869-11884",6
1453,"B6",11697,14843,1046.0,"11697-14843",2
5102,"9E",10868,10397,192.0,"10868-10397",4
572,"DL",14747,14831,696.0,"14747-14831",6
5944,"OO",12892,14679,109.0,"12892-14679",7
3230,"OO",11298,11823,859.0,"11298-11823",7
3315,"OO",14893,14679,480.0,"14893-14679",6
5669,"OH",11278,10581,590.0,"11278-10581",1
2085,"AA",11884,14107,1020.0,"11884-14107",6
744,"DL",12339,14747,1866.0,"12339-14747",5
1233,"DL",12217,10397,151.0,"12217-10397",5
1652,"WN",14492,10693,442.0,"14492-10693",6
1491,"WN",14679,14831,417.0,"14679-14831",6
2246,"UA",12266,13930,925.0,"12266-13930",3
32,"WN",14730,12191,803.0,"14730-12191",2
1744,"WN",13232,14307,842.0,"13232-14307",6
3326,"MQ",11298,15370,237.0,"11298-15370",3
6216,"YV",12266,13487,1034.0,"12266-13487",3
85,"AS",10397,14747,2182.0,"10397-14747",4
5752,"CP",14057,14747,129.0,"14057-14747",7
6095,"YX",12478,11066,483.0,"12478-11066",5
4033,"EV",11996,11618,594.0,"11996-11618",5
2404,"AA",10423,11298,190.0,"10423-11298",5
5932,"OO",12266,15016,667.0,"12266-15016",3
5446,"OO",14689,14771,262.0,"14689-14771",2
1196,"AA",11618,13303,1085.0,"11618-13303",3
5730,"OO",11109,11292,73.0,"11109-11292",3
1449,"WN",10529,10821,283.0,"10529-10821",3
2077,"WN",12892,13796,337.0,"12892-13796",6
789,"UA",14057,11292,991.0,"14057-11292",2
791,"WN",13871,13232,423.0,"13871-13232",6
203,"WN",14679,13796,446.0,"14679-13796",3
336,"B6",11433,10721,632.0,"11433-10721",3
958,"AA",10423,12892,1242.0,"10423-12892",2
693,"F9",11003,11292,692.0,"11003-11292",6
1833,"DL",13487,11986,408.0,"13487-11986",7
3605,"YX",13871,11618,1134.0,"13871-11618",5
2572,"QX",13796,14057,543.0,"13796-14057",5
1095,"WN",11278,13232,601.0,"11278-13232",5
397,"AA",13303,14843,1045.0,"13303-14843",7
