"fl_date","mkt_unique_carrier","branded_code_share","mkt_carrier","mkt_carrier_fl_num","op_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","crs_dep_time","dep_time","dep_delay","taxi_out","wheels_off","wheels_on","taxi_in","crs_arr_time","arr_time","arr_delay","cancelled","cancellation_code","diverted","dup","crs_elapsed_time","actual_elapsed_time","air_time","flights","distance","carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay","first_dep_time","total_add_gtime","longest_add_gtime","no_name"
"2018-09-03","AA","AA","AA",2366,"AA","N885NN",2366,13930,"ORD","Chicago, IL",10397,"ATL","Atlanta, GA",1716,2130,254,21,2151,12,8,2008,20,252,0,NULL,0,"N",112,110,81,1,606,0,138,0,0,114,NULL,NULL,NULL,NULL
"2018-12-01","UA","UA_CODESHARE","UA",5413,"OO","N788SK",5413,12892,"LAX","Los Angeles, CA",14262,"PSP","Palm Springs, CA",1855,2221,206,18,2239,2307,6,1947,2313,206,0,NULL,0,"N",52,52,28,1,110,0,204,0,0,2,NULL,NULL,NULL,NULL
"2018-11-15","DL","DL_CODESHARE","DL",5328,"9E","N133EV",5328,12953,"LGA","New York, NY",11042,"CLE","Cleveland, OH",1649,1952,183,111,2143,2246,12,1849,2258,249,0,NULL,0,"N",120,186,63,1,419,0,183,66,0,0,"1655.0",76,76,NULL
"2019-07-12","AA","AA","AA",2509,"AA","N970TW",2509,12451,"JAX","Jacksonville, FL",11298,"DFW","Dallas/Fort Worth, TX",1621,1752,91,16,1808,1917,17,1800,1934,94,0,NULL,0,"N",159,162,129,1,918,0,89,3,0,2,NULL,NULL,NULL,NULL
"2019-05-22","DL","DL_CODESHARE","DL",7414,"OO","N926EV",7414,14520,"RHI","Rhinelander, WI",13487,"MSP","Minneapolis, MN",642,1655,613,15,1710,1750,7,800,1757,597,0,NULL,0,"N",78,62,40,1,190,0,597,0,0,0,NULL,NULL,NULL,NULL
"2019-06-20","DL","DL_CODESHARE","DL",5394,"9E","N8980A",5394,12478,"JFK","New York, NY",10821,"BWI","Baltimore, MD",1752,1954,122,33,2027,2102,6,1929,2108,99,0,NULL,0,"N",97,74,35,1,184,0,99,0,0,0,NULL,NULL,NULL,NULL
"2019-08-19","AA","AA","AA",2687,"AA","N758US",2687,11057,"CLT","Charlotte, NC",12339,"IND","Indianapolis, IN",1625,1722,57,17,1739,1854,8,1803,1902,59,0,NULL,0,"N",98,100,75,1,427,0,57,2,0,0,NULL,NULL,NULL,NULL
"2019-12-18","UA","UA","UA",1488,"UA","N77520",1488,12266,"IAH","Houston, TX",11618,"EWR","Newark, NJ",1940,2351,251,15,6,342,37,2356,419,263,0,NULL,0,"N",196,208,156,1,1400,0,251,12,0,0,"1939.0",54,54,NULL
"2019-05-04","WN","WN","WN",4098,"WN","N794SW",4098,13204,"MCO","Orlando, FL",11259,"DAL","Dallas, TX",1555,1659,64,24,1723,1836,4,1740,1840,60,0,NULL,0,"N",165,161,133,1,973,0,60,0,0,0,NULL,NULL,NULL,NULL
"2019-01-23","DL","DL","DL",999,"DL","N980AT",999,11433,"DTW","Detroit, MI",10423,"AUS","Austin, TX",840,1119,159,41,1200,1401,10,1127,1411,164,0,NULL,0,"N",227,232,181,1,1149,0,159,5,0,0,NULL,NULL,NULL,NULL
