"fl_date","mkt_unique_carrier","tail_num","op_carrier_fl_num","origin_airport_id","origin","origin_city_name","dest_airport_id","dest","dest_city_name","weather_delay_r"
"2019-03-21","DL","N390CA",6248,13296,"MHT","Manchester, NH",11433,"DTW","Detroit, MI",2900
"2018-07-05","DL","N264SY",4690,11057,"CLT","Charlotte, NC",12478,"JFK","New York, NY",2692
"2018-02-09","HA","N382HA",465,12173,"HNL","Honolulu, HI",14222,"PPG","Pago Pago, TT",2475
"2018-12-09","DL","N921EV",3855,15323,"TRI","Bristol/Johnson City/Kingsport, TN",10397,"ATL","Atlanta, GA",2098
"2019-12-24","AA","N902EV",3115,10874,"CAK","Akron, OH",13930,"ORD","Chicago, IL",1847
"2018-01-03","HA","N391HA",50,12173,"HNL","Honolulu, HI",12478,"JFK","New York, NY",1682
"2019-11-13","DL","N453SW",3787,11986,"GRR","Grand Rapids, MI",11433,"DTW","Detroit, MI",1575
"2019-11-29","UA","N157SY",5676,14698,"SBP","San Luis Obispo, CA",11292,"DEN","Denver, CO",1570
"2019-10-24","AA","N871NN",189,10140,"ABQ","Albuquerque, NM",11298,"DFW","Dallas/Fort Worth, TX",1552
"2019-12-09","DL","N675BR",4252,10333,"APN","Alpena, MI",11433,"DTW","Detroit, MI",1550
"2019-02-23","AA","N93003",2385,12892,"LAX","Los Angeles, CA",11503,"EGE","Eagle, CO",1521
"2019-11-29","UA","N930SW",5699,11638,"FAT","Fresno, CA",11292,"DEN","Denver, CO",1486
"2018-09-23","UA","N909SW",5141,13930,"ORD","Chicago, IL",11076,"CMX","Hancock/Houghton, MI",1466
"2019-12-01","DL","N431SW",4268,12335,"IMT","Iron Mountain/Kingsfd, MI",13487,"MSP","Minneapolis, MN",1460
"2019-08-20","UA","N150SY",5506,10529,"BDL","Hartford, CT",13930,"ORD","Chicago, IL",1440
"2019-12-29","DL","N8982A",3690,11066,"CMH","Columbus, OH",11433,"DTW","Detroit, MI",1438
"2019-06-29","UA","N16976",4334,11042,"CLE","Cleveland, OH",11618,"EWR","Newark, NJ",1431
"2019-12-15","UA","N508MJ",6010,13198,"MCI","Kansas City, MO",12266,"IAH","Houston, TX",1422
"2019-01-19","AA","N760SK",3234,14730,"SDF","Louisville, KY",13930,"ORD","Chicago, IL",1416
"2019-04-12","DL","N912EV",3886,12945,"LEX","Lexington, KY",11433,"DTW","Detroit, MI",1410
