"seats","passengers","distance","unique_carrier","year","month","class"
9,0,176,"GV",2018,9,"F"
6,3,24,"K2",2019,10,"L"
160,85,1430,"AA",2018,11,"F"
9,2,128,"5V",2019,11,"L"
4004,3484,999,"WN",2018,8,"F"
0,0,216,"DL",2019,1,"L"
4200,3499,657,"UA",2019,11,"F"
72,60,1844,"DL",2018,10,"L"
7720,7232,5186,"AZ",2019,7,"F"
0,0,110,"7S",2019,2,"G"
2950,2395,421,"OO",2019,10,"F"
126,50,38,"K2",2018,12,"F"
0,0,1969,"NC",2019,10,"P"
279,103,81,"J5",2019,12,"F"
260,185,416,"OH",2018,9,"F"
152,81,585,"YX",2019,2,"F"
4216,3560,992,"RV",2019,7,"F"
8928,7842,5845,"IB",2018,8,"F"
8250,7469,4800,"BA",2018,4,"F"
2280,1779,281,"OH",2019,9,"F"
2173,2002,1037,"YV",2019,11,"F"
50,20,441,"ZW",2018,8,"F"
2016,1940,2308,"WS",2018,2,"F"
0,0,46,"KO",2018,11,"G"
640,405,2102,"DL",2019,1,"F"
36,0,9,"KAH",2019,3,"L"
1824,1352,544,"YX",2019,7,"F"
4800,3984,227,"9E",2018,2,"F"
0,0,49,"KO",2018,9,"G"
3000,2749,991,"F9",2019,7,"F"
6780,5272,4800,"BA",2019,4,"F"
9,8,65,"H6",2018,8,"F"
189,141,1012,"GL",2018,3,"L"
350,276,1797,"WN",2018,2,"F"
0,0,3799,"KD",2019,4,"P"
3780,2999,416,"G7",2018,6,"F"
140,67,201,"EV",2019,7,"F"
777,449,4416,"DE",2019,6,"F"
900,537,541,"B6",2018,7,"F"
6272,5864,900,"UA",2019,7,"F"
0,0,75,"7S",2018,4,"G"
6764,5431,594,"MQ",2019,10,"F"
9,0,104,"V8",2019,4,"L"
0,0,399,"FX",2018,11,"G"
256,186,141,"UA",2019,3,"F"
110,104,186,"DL",2019,6,"F"
1366,1255,4293,"UA",2019,10,"F"
1748,1578,812,"9E",2019,7,"F"
16,15,813,"LF",2018,11,"L"
1820,1004,308,"G7",2018,10,"F"
0,0,826,"L2",2018,7,"P"
4842,3408,1117,"B6",2019,12,"F"
1716,1539,988,"G4",2019,12,"F"
0,0,393,"FX",2018,3,"G"
4004,3212,462,"WN",2018,2,"F"
24578,16687,516,"DL",2018,9,"F"
179,167,1514,"UA",2019,3,"F"
9,4,67,"H6",2018,12,"F"
9,1,32,"J5",2019,10,"F"
0,0,683,"FX",2018,4,"G"
555,448,954,"VX",2018,3,"F"
12425,11103,883,"WN",2018,11,"F"
6,1,94,"H6",2019,1,"F"
143,81,1075,"WN",2018,9,"F"
420,106,888,"OO",2018,2,"F"
14,0,102,"GV",2018,6,"L"
70,0,350,"OO",2019,6,"F"
0,0,3895,"ABX",2018,11,"P"
358,317,1624,"Y4",2018,7,"F"
12,4,41,"H6",2018,2,"L"
0,0,1178,"5X",2019,5,"G"
8340,6966,2614,"HA",2018,9,"F"
143,81,752,"WN",2018,8,"F"
5580,4189,2090,"VB",2019,10,"F"
1260,800,81,"J5",2019,9,"F"
12960,11685,982,"AA",2018,6,"F"
900,546,227,"MQ",2018,7,"F"
22188,17087,5456,"VS",2018,9,"F"
0,0,1519,"5X",2018,2,"G"
1820,1023,308,"G7",2019,5,"F"
10,2,40,"V8",2019,10,"L"
9724,8884,1797,"WN",2018,10,"F"
4340,2770,752,"G7",2018,5,"F"
1885,1595,1246,"NK",2019,3,"F"
3201,2901,6254,"DY",2019,5,"F"
358,0,1121,"09Q",2018,7,"L"
0,0,855,"U7",2019,12,"P"
